"Player Nr. (1, 2)","Winner (H, A)",H Points,A Points
1,H,96+9,18
2,H,86+14,37
1,H,85+19,13
2,H,98+3,41
,,,
1,H,92+9,14
2,H,89+12,80
1,H,92+12,31
2,H,89+15,27
,,,
1,H,81+20,32
2,H,99+6,70
1,H,90+14,24
2,H,88+14,36
,,,
1,H,91+11,32
2,H,98+8,36
1,H,96+5,36
2,H,93+9,51
,,,
1,H,93+18,14
2,H,88+23,30
1,H,95+13,19
2,H,98+6,39
,,,
1,H,99+3,29
2,H,95+5,27
1,H,89+12,77
2,H,92+8,65
1,H,80+21,44
2,H,95+7,39
1,H,90+12,26
2,H,92+8,48
,,,
1,H,96+11,38
2,H,96+2,35
1,H,99+6,75
2,H,98+4,28
,,,
1,H,86+16,43
2,H,86+14,43
1,H,92+13,39
2,H,99+9,56
,,,
1,H,92+15,23
2,H,92+13,47
1,H,92+15,48
2,H,91+11,25
